date,oil
2016-05-13,89
2016-05-14,87
2016-05-15,88
2016-05-16,94
2016-05-17,92
2016-05-18,91
2016-05-19,87
2016-05-20,84
2016-05-21,91
2016-05-22,85
2016-05-23,87
2016-05-24,88
2016-05-25,90
2016-05-26,94
2016-05-27,88
2016-05-28,82
2016-05-29,81
2016-05-30,85
2016-05-31,87
2016-06-01,86
2016-06-02,88
2016-06-03,87
2016-06-04,88
2016-06-05,81
2016-06-06,87
2016-06-07,89
2016-06-08,88
2016-06-09,86
2016-06-10,89
2016-06-11,83
2016-06-12,79
2016-06-13,84
2016-06-14,84
2016-06-15,87
2016-06-16,84
2016-06-17,82
2016-06-18,84
2016-06-19,78
2016-06-20,85
2016-06-21,86
2016-06-22,86
2016-06-23,88
2016-06-24,88
2016-06-25,84
2016-06-26,81
2016-06-27,85
2016-06-28,85
2016-06-29,84
2016-06-30,83
2016-07-01,82
2016-07-02,82
2016-07-03,79
2016-07-04,78
2016-07-05,80
2016-07-06,85
2016-07-07,86
2016-07-08,86
2016-07-09,88
2016-07-10,79
2016-07-11,85
2016-07-12,83
2016-07-13,86
2016-07-14,80
2016-07-15,82
2016-07-16,83
2016-07-17,82
2016-07-18,88
2016-07-19,86
2016-07-20,86
2016-07-21,86
2016-07-22,82
2016-07-23,86
2016-07-24,84
2016-07-25,88
2016-07-26,88
2016-07-27,86
2016-07-28,89
2016-07-29,87
2016-07-30,88
2016-07-31,82
2016-08-01,91
2016-08-02,87
2016-08-03,88
2016-08-04,87
2016-08-05,84
2016-08-06,80
2016-08-07,81
2016-08-08,84
2016-08-09,84
2016-08-10,82
2016-08-11,84
2016-08-12,81
2016-08-13,84
2016-08-14,78
2016-08-15,85
2016-08-16,81
2016-08-17,84
2016-08-18,82
2016-08-19,83
2016-08-20,82
2016-08-21,81
2016-08-22,86
2016-08-23,90
2016-08-24,81
2016-08-25,82
2016-08-26,85
2016-08-27,88
2016-08-28,84
2016-08-29,86
2016-08-30,88
2016-08-31,84
2016-09-01,85
2016-09-02,86
2016-09-03,86
2016-09-04,83
2016-09-05,85
2016-09-06,87
2016-09-07,90
2016-09-08,89
2016-09-09,91
2016-09-10,87
2016-09-11,83
2016-09-12,86
2016-09-13,86
2016-09-14,84
2016-09-15,86
2016-09-16,89
2016-09-17,89
2016-09-18,82
2016-09-19,88
2016-09-20,85
2016-09-21,83
2016-09-22,87
2016-09-23,85
2016-09-24,83
2016-09-25,87
2016-09-26,86
2016-09-27,86
2016-09-28,89
2016-09-29,91
2016-09-30,90
2016-10-01,82
2016-10-02,80
2016-10-03,87
2016-10-04,86
2016-10-05,85
2016-10-06,87
2016-10-07,81
2016-10-08,82
2016-10-09,84
2016-10-10,85
2016-10-11,92
2016-10-12,90
2016-10-13,87
2016-10-14,88
2016-10-15,86
2016-10-16,83
2016-10-17,87
2016-10-18,86
2016-10-19,88
2016-10-20,81
2016-10-21,81
2016-10-22,84
2016-10-23,84
2016-10-24,87
2016-10-25,88
2016-10-26,87
2016-10-27,82
