date,greenhouse gas
2016-11-15,28.0
2016-11-16,23.0
2016-11-17,28.0
2016-11-18,12.0
2016-11-19,9.0
2016-11-20,12.0
2016-11-21,28.0
2016-11-22,36.0
2016-11-23,11.0
2016-11-24,8.0
2016-11-25,8.0
2016-11-26,4.0
2016-11-27,12.0
2016-11-28,22.0
2016-11-29,19.0
2016-11-30,20.0
2016-12-01,38.0
2016-12-02,20.0
2016-12-03,10.0
2016-12-04,8.0
2016-12-05,26.0
2016-12-06,29.0
2016-12-07,20.0
2016-12-08,32.0
2016-12-09,17.0
2016-12-10,14.0
2016-12-11,12.0
2016-12-12,25.0
2016-12-13,25.0
2016-12-14,30.0
2016-12-15,14.0
2016-12-16,16.0
2016-12-17,10.0
2016-12-18,12.0
2016-12-19,11.0
2016-12-20,6.0
2016-12-21,16.0
2016-12-22,13.0
2016-12-23,12.0
2016-12-24,6.0
2016-12-25,0.0
2016-12-26,7.0
2016-12-27,8.0
2016-12-28,8.0
2016-12-29,5.0
2016-12-30,8.0
2016-12-31,6.0
2017-01-01,8.0
2017-01-02,3.0
2017-01-03,12.0
2017-01-04,10.0
2017-01-05,12.0
2017-01-06,10.0
2017-01-07,8.0
2017-01-08,12.0
2017-01-09,12.0
2017-01-10,18.0
2017-01-11,14.0
2017-01-12,10.0
2017-01-13,12.0
2017-01-14,6.0
2017-01-15,6.0
2017-01-16,14.0
2017-01-17,18.0
2017-01-18,22.0
2017-01-19,24.0
2017-01-20,22.0
2017-01-21,6.0
2017-01-22,15.0
2017-01-23,20.0
2017-01-24,18.0
2017-01-25,22.0
2017-01-26,26.0
2017-01-27,32.0
2017-01-28,17.0
2017-01-29,13.0
2017-01-30,20.0
2017-01-31,29.0
2017-02-01,18.0
2017-02-02,22.0
2017-02-03,18.0
2017-02-04,2.0
2017-02-05,14.0
2017-02-06,8.0
2017-02-07,20.0
2017-02-08,20.0
2017-02-09,16.0
2017-02-10,21.0
2017-02-11,13.0
2017-02-12,12.0
2017-02-13,17.0
2017-02-14,12.0
2017-02-15,20.0
2017-02-16,20.0
2017-02-17,23.0
2017-02-18,10.0
2017-02-19,23.0
2017-02-20,8.0
2017-02-21,17.0
2017-02-22,28.0
2017-02-23,19.0
2017-02-24,12.0
2017-02-25,6.0
2017-02-26,20.0
